Champion,Region,Rank,Tier,Summoner
Ahri,NA,24,Challenger,sth2die4
Ahri,NA,25,Master,Gandalf
Ahri,NA,26,Grandmaster,Toothbooth
Ahri,NA,27,Grandmaster,芝麻酱
Ahri,NA,28,Grandmaster,Cotogod
Ahri,NA,29,Grandmaster,Seranok
Ahri,NA,30,Grandmaster,Radar
Ahri,NA,31,Master,Synergist
Ahri,NA,32,Master,Zero Hour
Ahri,NA,33,Master,LEGO 11031
Ahri,NA,34,Master,The Harem King
Ahri,NA,35,Master,chao
Ahri,NA,36,Master,howl
Ahri,NA,37,Master,Ahj
Ahri,NA,38,Grandmaster,Fanthom
Ahri,NA,39,Master,Tаilz
Ahri,NA,40,Master,Messages
Ahri,NA,41,Master,알 아
Ahri,NA,42,Master,Tiffany
Ahri,NA,43,Master,EnchantingVixen
Ahri,NA,44,Master,WildDog
Ahri,NA,45,Master,Pinkymoon
Ahri,NA,46,Master,RainaisCrazy
Ahri,NA,47,Grandmaster,Heist
Ahri,NA,48,Master,Days
Ahri,NA,49,Master,muzuki
Ahri,NA,50,Master,Artoria
Ahri,NA,51,Master,zzz
Ahri,NA,52,Master,Heppo
Ahri,NA,53,Master,TooSpicyForYou
Ahri,NA,54,Master,Dish
Ahri,NA,55,Master,Scooter
Ahri,NA,56,Diamond 1,YanYanDereDere
Ahri,NA,57,Master,LiamL2
Ahri,NA,58,Master,Hanataro
Ahri,NA,59,Master,Jun Chey
Ahri,NA,60,Master,FATE
Ahri,NA,61,Master,9 Tail Assassin
Ahri,NA,62,Master,UW Chovy
Ahri,NA,63,Master,vickixiaobaobei
Ahri,NA,64,Master,Maopsical
Ahri,NA,65,Diamond 1,aquanick
Ahri,NA,66,Grandmaster,spooky
Ahri,NA,67,Master,K9 Barker
Ahri,NA,68,Master,T1 Faker
Ahri,NA,69,Master,Gnoah
Ahri,NA,70,Master,twtv fairygirl
Ahri,NA,71,Diamond 1,XYXQAQ
Ahri,NA,72,Diamond 1,Ebisu style
Ahri,NA,73,Master,CreedTrix
Ahri,NA,74,Master,ItsCharlie
Ahri,NA,75,Master,Linebacker420
Ahri,NA,76,Master,KC BYLKA
Ahri,NA,77,Master,NekoSakana
Ahri,NA,78,Master,Pentakill Scrub
Ahri,NA,79,Master,Fent
Ahri,NA,80,Master,ZeroDomain
Ahri,NA,81,Master,Orions
Ahri,NA,82,Master,l Mr Clean l
Ahri,NA,83,Master,JerFlas Father
Ahri,NA,84,Master,MsTeemo
Ahri,NA,85,Master,ssuregi
Ahri,NA,86,Master,way out
Ahri,NA,87,Master,blue solitude
Ahri,NA,88,Master,Hsiung
Ahri,NA,89,Diamond 1,Rïsë
Ahri,NA,90,Master,FatKidsAttack
Ahri,NA,91,Master,JOLLYJUNGLER123
Ahri,NA,92,Master,yourıa
Ahri,NA,93,Master,NoxiousDragoon
Ahri,NA,94,Diamond 1,Medialuna
Ahri,NA,95,Master,bliss
Ahri,NA,96,Master,Souldier
Ahri,NA,97,Master,cho a it twerk
Ahri,NA,98,Master,Kiwi Slayer
Ahri,NA,99,Diamond 1,wont let u down
Ahri,NA,100,Master,Isasebell
Akali,NA,1,Challenger,syeu
Akali,NA,2,Grandmaster,Zeneryth
Akali,NA,3,Challenger,Choker
Akali,NA,4,Challenger,tr1ckst3r
Akali,NA,5,Challenger,nooneknows14
Akali,NA,6,Challenger,Reppy
Akali,NA,7,Challenger,htag
Akali,NA,8,Challenger,My Eclipse
Akali,NA,9,Challenger,Abedz
Akali,NA,10,Master,Tokiyami
Akali,NA,11,Master,LoneSomeRanger
Akali,NA,12,Grandmaster,pika
Akali,NA,13,Grandmaster,Disdainº
Akali,NA,14,Grandmaster,Jonghwa
Akali,NA,15,Challenger,Chovy
Akali,NA,16,Challenger,Absolem
Akali,NA,17,Master,Raikali
Akali,NA,18,Grandmaster,n fart walk
Akali,NA,19,Master,阿卡丽
Akali,NA,20,Grandmaster,KiteAzure
Akali,NA,21,Master,UWUFEMBOYKITTY
Akali,NA,22,Challenger,카 츄
Akali,NA,23,Challenger,lG Roookie
Akali,NA,24,Master,MIRumuu
Akali,NA,25,Challenger,Dark Wingdom
Akali,NA,26,Master,whats ur wechat
Akali,NA,27,Grandmaster,nmttrwht
Akali,NA,28,Master,Margulis
Akali,NA,29,Challenger,ZED04
Akali,NA,30,Grandmaster,Apex BlindGoat
Akali,NA,31,Grandmaster,UnControlled
Akali,NA,32,Grandmaster,Cotogod
Akali,NA,33,Grandmaster,rain
Akali,NA,34,Grandmaster,DONTSIDE
Akali,NA,35,Master,Zethal
Akali,NA,36,Grandmaster,麻 烦
Akali,NA,37,Challenger,bluu
Akali,NA,38,Master,Ego
Akali,NA,39,Master,Vendonco
Akali,NA,40,Grandmaster,SSSean
Akali,NA,41,Master,YoShy
Akali,NA,42,Master,祝你生活愉快
Akali,NA,43,Master,Fli
Akali,NA,44,Master,我的名字叫云
Akali,NA,45,Master,4K4LI
Akali,NA,46,Challenger,sth2die4
Akali,NA,47,Master,Maroon Snail
Akali,NA,48,Master,Guapo Zapatos
Akali,NA,49,Master,ttvCyinite
Akali,NA,50,Master,ˇ川川ˇ
Akali,NA,51,Master,Kado
Akali,NA,52,Challenger,young
Akali,NA,53,Master,sufferinghelp
Akali,NA,54,Master,MILuyaa
Akali,NA,55,Master,Starshadow
Akali,NA,56,Master,listen more
Akali,NA,57,Master,WardAkali
Akali,NA,58,Master,Uykzos
Akali,NA,59,Grandmaster,奶妈的安眠药
Akali,NA,60,Master,twitchCyinite
Akali,NA,61,Grandmaster,Toothbooth
Akali,NA,62,Master,Drazmere
Akali,NA,63,Master,LAN Import
Akali,NA,64,Master,hi im oreki
Akali,NA,65,Master,Wazabiee
Akali,NA,66,Diamond 2,Chief
Akali,NA,67,Master,Platinum
Akali,NA,68,Diamond 1,LoneSomeRanger
Akali,NA,69,Master,Nico
Akali,NA,70,Master,ImfineThankYou
Akali,NA,71,Master,IIRAGNOROKII
Akali,NA,72,Grandmaster,코지마
Akali,NA,73,Master,Redforrest
Akali,NA,74,Master,TheyShy nam ay
Akali,NA,75,Master,Abraxes
Akali,NA,76,Grandmaster,黯淡不及星光
Akali,NA,77,Master,NYTE1
Akali,NA,78,Grandmaster,same same
Akali,NA,79,Master,Sniper
Akali,NA,80,Master,我刚满十八岁
Akali,NA,81,Master,Thunder155
Akali,NA,82,Master,OpPancakes
Akali,NA,83,Master,RiceLegend
Akali,NA,84,Master,BrotherInBrother
Akali,NA,85,Master,콘비르
Akali,NA,86,Diamond 1,rumor
Akali,NA,87,Master,fang mu
Akali,NA,88,Master,Lamb
Akali,NA,89,Master,Arekpro
Akali,NA,90,Master,Kuhsaai
Akali,NA,91,Challenger,teemomain85
Akali,NA,92,Master,NoTypeNoFlameSry
Akali,NA,93,Master,Kunoichi Main
Akali,NA,94,Master,DEAD END
Akali,NA,95,Grandmaster,play better
Akali,NA,96,Master,밤하늘
Akali,NA,97,Master,blue solitude
Akali,NA,98,Master,Dedge
Akali,NA,99,Master,I Smurf Ur Peak
Akali,NA,100,Master,Bovia
Akshan,NA,1,Challenger,chenchen53
Akshan,NA,2,Challenger,Likable
Akshan,NA,3,Grandmaster,Doctor Doom
Akshan,NA,4,Grandmaster,Linh The Legend
Akshan,NA,5,Master,zombie12thfan
Akshan,NA,6,Master,iwantgarlicbread
Akshan,NA,7,Grandmaster,Lawrence
Akshan,NA,8,Grandmaster,NO HANDS LARRY
Akshan,NA,9,Grandmaster,Komari
Akshan,NA,10,Grandmaster,bobby shmurda
Akshan,NA,11,Challenger,rovex
Akshan,NA,12,Grandmaster,Khatab
Akshan,NA,13,Grandmaster,shochi
Akshan,NA,14,Challenger,pizzaman007
Akshan,NA,15,Challenger,olruol
Akshan,NA,16,Grandmaster,mars
Akshan,NA,17,Grandmaster,유상모
Akshan,NA,18,Master,rengarthc
Akshan,NA,19,Master,TheHumanFaith
Akshan,NA,20,Diamond 2,AKSHAN JG CARRY
Akshan,NA,21,Master,Antcliff
Akshan,NA,22,Grandmaster,Phuji
Akshan,NA,23,Master,wx lxty2222
Akshan,NA,24,Master,Defiant
Akshan,NA,25,Challenger,Zamudo
Akshan,NA,26,Master,almonds214
Akshan,NA,27,Diamond 2,Master Danmin
Akshan,NA,28,Master,anqrcav
Akshan,NA,29,Master,BATMAN
Akshan,NA,30,Master,Dopaa
Akshan,NA,31,Master,HOTINDIANPRINCE
Akshan,NA,32,Master,WAWA
Akshan,NA,33,Master,HuTaoRunMeOver
Akshan,NA,34,Master,La Pétoune
Akshan,NA,35,Master,cats 1over
Akshan,NA,36,Master,KolonB
Akshan,NA,37,Diamond 2,Kermate
Akshan,NA,38,Master,Geiger
Akshan,NA,39,Master,Im ExeCUTE
Akshan,NA,40,Master,Dubudu
Akshan,NA,41,Master,HiiMorinNA
Akshan,NA,42,Master,Senwich
Akshan,NA,43,Master,Akshan
Akshan,NA,44,Master,Nespi
Akshan,NA,45,Master,Ego
Akshan,NA,46,Master,焚心绚华绘闪现阴沉变意没骨火宿墨
Akshan,NA,47,Master,NewShoes
Akshan,NA,48,Master,Ornngasm
Akshan,NA,49,Master,记住我
Akshan,NA,50,Master,Orpheus
Akshan,NA,51,Master,cinto mamochi
Akshan,NA,52,Master,Excessif
Akshan,NA,53,Diamond 1,FortniteLimelite
Akshan,NA,54,Master,Sora
Akshan,NA,55,Master,Shapour Anastazy
Akshan,NA,56,Diamond 1,Our Dear Leader
Akshan,NA,57,Diamond 1,BushDidIt420
Akshan,NA,58,Diamond 1,Metacrisis
Akshan,NA,59,Diamond 1,100T Blank
Akshan,NA,60,Diamond 2,Bears on Meth
Akshan,NA,61,Master,CUTE Klee
Akshan,NA,62,Master,Haven666
Akshan,NA,63,Master,Vsat
Akshan,NA,64,Master,Kanye West
Akshan,NA,65,Master,Guls
Akshan,NA,66,Diamond 1,500 Tooth Dino
Akshan,NA,67,Master,JanetJian Kitten
Akshan,NA,68,Master,Beatz Hunter
Akshan,NA,69,Master,Levid3nt
Akshan,NA,70,Master,Drututt
Akshan,NA,71,Master,IntoMyWeb
Akshan,NA,72,Master,David Brown Fox
Akshan,NA,73,Grandmaster,WorldConquer
Akshan,NA,74,Diamond 1,Kugo Ginjo
Akshan,NA,75,Master,Nuxe
Akshan,NA,76,Diamond 1,ff if u troll me
Akshan,NA,77,Diamond 1,potshotgg
Akshan,NA,78,Master,dang thats wild
Akshan,NA,79,Master,Broko
Akshan,NA,80,Master,Amumufullapxd
Akshan,NA,81,Diamond 2,Cubs
Akshan,NA,82,Master,milfred
Akshan,NA,83,Diamond 2,NoPlanGamer
Akshan,NA,84,Diamond 1,Katfish
Akshan,NA,85,Master,Swagasm
Akshan,NA,86,Master,Iuno
Akshan,NA,87,Diamond 2,Hagrid43
Akshan,NA,88,Diamond 2,intingismylife
Akshan,NA,89,Master,Brightlamp
Akshan,NA,90,Diamond 2,briars pus lips
Akshan,NA,91,Master,Void
Akshan,NA,92,Master,Oathbreaker
Akshan,NA,93,Master,xFSN
Akshan,NA,94,Master,ed8r
Akshan,NA,95,Diamond 1,kaza213
Akshan,NA,96,Master,gooby
Akshan,NA,97,Master,Lee Hai
Akshan,NA,98,Master,Better Top
Akshan,NA,99,Diamond 1,SUUUUCE
Akshan,NA,100,Diamond 1,my team 5 pdf
Alistar,NA,1,Challenger,Isles2
Alistar,NA,2,Challenger,Isles1
Alistar,NA,3,Challenger,Breezyyy
Alistar,NA,4,Challenger,KDKD
Alistar,NA,5,Grandmaster,loltyler1
Alistar,NA,6,Grandmaster,Ditto
Alistar,NA,7,Challenger,DOCTOR PETER
Alistar,NA,8,Grandmaster,Mi Ngơ
Alistar,NA,9,Challenger,InFlame Kub
Alistar,NA,10,Challenger,FLY Busio
Alistar,NA,11,Challenger,Minuilol
Alistar,NA,12,Grandmaster,Breezyyy2
Alistar,NA,13,Challenger,dtro
Alistar,NA,14,Challenger,Daption
Alistar,NA,15,Challenger,sigmamale143554
Alistar,NA,16,Grandmaster,달 별
Alistar,NA,17,Grandmaster,YoojungHukiriLee
Alistar,NA,18,Challenger,Zyko
Alistar,NA,19,Grandmaster,Test Supp 01
Alistar,NA,20,Challenger,Midorima
Alistar,NA,21,Grandmaster,4lias
Alistar,NA,22,Challenger,Just1
Alistar,NA,23,Grandmaster,Breezyyy3
Alistar,NA,24,Challenger,Diamond
Alistar,NA,25,Master,tramkamm
Alistar,NA,26,Grandmaster,Swordblue
Alistar,NA,27,Master,WhyDoPeopleFeed
Alistar,NA,28,Challenger,olruol
Alistar,NA,29,Challenger,cosha
Alistar,NA,30,Grandmaster,Crimsonating
Alistar,NA,31,Grandmaster,barlo
Alistar,NA,32,Challenger,duoking1
Alistar,NA,33,Grandmaster,rovex7
Alistar,NA,34,Master,PMA PMA PMA PMA
Alistar,NA,35,Challenger,RHINOOOOOOOOOOOO
Alistar,NA,36,Challenger,回到过去
Alistar,NA,37,Grandmaster,TOOGOOD
Alistar,NA,38,Grandmaster,Nausicaaaa
Alistar,NA,39,Challenger,links
Alistar,NA,40,Master,Brazukko
Alistar,NA,41,Grandmaster,MrBrobo
Alistar,NA,42,Grandmaster,Gasparin
Alistar,NA,43,Master,Wazabiee
Alistar,NA,44,Grandmaster,L P
Alistar,NA,45,Grandmaster,D K
Alistar,NA,46,Grandmaster,Hightlol
Alistar,NA,47,Master,Aslan
Alistar,NA,48,Master,gabgaut434
Alistar,NA,49,Master,marshmellow man
Alistar,NA,50,Master,Mizt
Alistar,NA,51,Grandmaster,love tyson
Alistar,NA,52,Master,xToRk
Alistar,NA,53,Grandmaster,ping me now
Alistar,NA,54,Challenger,VULCAN
Alistar,NA,55,Challenger,Crimson
Alistar,NA,56,Challenger,level
Alistar,NA,57,Grandmaster,abigbroomstick
Alistar,NA,58,Grandmaster,flame me now
Alistar,NA,59,Challenger,Fel
Alistar,NA,60,Master,Strict Proctor
Alistar,NA,61,Grandmaster,Gmandlife
Alistar,NA,62,Grandmaster,3uphoria
Alistar,NA,63,Grandmaster,ASSBLASTER79
Alistar,NA,64,Master,Old Primitive
Alistar,NA,65,Master,Cant Milk Those
Alistar,NA,66,Grandmaster,Zenden
Alistar,NA,67,Master,Aldnoah
Alistar,NA,68,Master,Get Good In
Alistar,NA,69,Challenger,Saint Ghoul
Alistar,NA,70,Master,Soraka
Alistar,NA,71,Grandmaster,Lil Mecca
Alistar,NA,72,Master,Destiny2007
Alistar,NA,73,Grandmaster,xExplosive
Alistar,NA,74,Master,Wyeverlo
Alistar,NA,75,Master,Patkeenz
Alistar,NA,76,Master,Craftedd
Alistar,NA,77,Master,어 쩔
Alistar,NA,78,Master,gibson8686
Alistar,NA,79,Master,Supp LFT
Alistar,NA,80,Master,nekehito
Alistar,NA,81,Master,宇智波燃
Alistar,NA,82,Master,Dx189
Alistar,NA,83,Master,Lobsidia
Alistar,NA,84,Master,Chime
Alistar,NA,85,Grandmaster,バウチャー
Alistar,NA,86,Master,TURDIUM POOPIDE
Alistar,NA,87,Master,KinqNoobyNoob
Alistar,NA,88,Grandmaster,TheJakourt
Alistar,NA,89,Grandmaster,bigdummy69
Alistar,NA,90,Master,dsquestionmark
Alistar,NA,91,Master,Blanquirroja
Alistar,NA,92,Master,Plouf
Alistar,NA,93,Master,Illamul
Alistar,NA,94,Master,AlphaStar
Alistar,NA,95,Diamond 1,Gorilla
Alistar,NA,96,Master,Jedin
Alistar,NA,97,Master,BU3H
Alistar,NA,98,Master,zidas
Alistar,NA,99,Master,BeastJrThunder
Alistar,NA,100,Master,Disc Pulverizegg
Amumu,NA,1,Challenger,Daption
Amumu,NA,2,Grandmaster,3uphoria
Amumu,NA,3,Master,Battòusai
Amumu,NA,4,Master,C9 Berserker
Amumu,NA,5,Master,Haniagra
Amumu,NA,6,Master,Legend4Style
Amumu,NA,7,Master,beebeeb123
Amumu,NA,8,Master,Fifika333
Amumu,NA,9,Master,Shukran
Amumu,NA,10,Master,Tvinseba
Amumu,NA,11,Master,dog
Amumu,NA,12,Master,Autotune
Amumu,NA,13,Master,Burst
Amumu,NA,14,Master,FatKidsAttack
Amumu,NA,15,Master,Moosenaski
Amumu,NA,16,Master,badeyema
Amumu,NA,17,Master,BootWare
Amumu,NA,18,Master,Shyvadi
Amumu,NA,19,Master,BrianTrinh
Amumu,NA,20,Master,xSQuach
Amumu,NA,21,Master,Swimsuit Ahri
Amumu,NA,22,Master,InsrtUsername
Amumu,NA,23,Master,Kirit0 Chu
Amumu,NA,24,Master,iPhone 7
Amumu,NA,25,Diamond 1,TFSKC
Amumu,NA,26,Diamond 2,Arcadox
Amumu,NA,27,Master,pucci goat
Amumu,NA,28,Master,JustMyType
Amumu,NA,29,Diamond 2,llNoRegretll
Amumu,NA,30,Master,Griggs
Amumu,NA,31,Diamond 2,Zhaoyuan Jia
Amumu,NA,32,Master,ThundercatsHOOO
Amumu,NA,33,Master,SkandaLoL
Amumu,NA,34,Master,Zeru
Amumu,NA,35,Master,boner garage
Amumu,NA,36,Diamond 1,K3 X1
Amumu,NA,37,Master,ARCT1C
Amumu,NA,38,Master,Chicago Cubs
Amumu,NA,39,Master,Daikong
Amumu,NA,40,Master,JanetJian Kitten
Amumu,NA,41,Master,Mr Oogie Boogie
Amumu,NA,42,Diamond 1,Khevs
Amumu,NA,43,Diamond 2,TwitchTV Humzh
Amumu,NA,44,Master,Kevin Kookies
Amumu,NA,45,Master,Lampre
Amumu,NA,46,Master,Adallauna
Amumu,NA,47,Master,dMgTroubLeMaKeR
Amumu,NA,48,Master,Jordan Bot 745
Amumu,NA,49,Master,Hecti12
Amumu,NA,50,Master,Paklaiton
Amumu,NA,51,Master,The Birds Pt1
Amumu,NA,52,Master,Death Sentenceº
Amumu,NA,53,Diamond 2,Didithekong
Amumu,NA,54,Master,6ft3 white male
Amumu,NA,55,Master,The1337Troll
Amumu,NA,56,Diamond 1,Glock
Amumu,NA,57,Diamond 2,FloydMayweather3
Amumu,NA,58,Diamond 2,Skyr1s3
Amumu,NA,59,Diamond 2,shmegma
Amumu,NA,60,Diamond 1,EG Dog1
Amumu,NA,61,Master,Zestia
Amumu,NA,62,Diamond 1,phoenix bbc
Amumu,NA,63,Master,Table Slammer
Amumu,NA,64,Master,westrice
Amumu,NA,65,Diamond 2,KennytheBamf
Amumu,NA,66,Diamond 2,AnAnomalusAnt
Amumu,NA,67,Diamond 2,DehydratedHenry
Amumu,NA,68,Master,emi
Amumu,NA,69,Master,Best Bud World
Amumu,NA,70,Diamond 1,stan king
Amumu,NA,71,Diamond 1,wont let u down
Amumu,NA,72,Master,Jordan Bot
Amumu,NA,73,Diamond 2,NÜDESFORBACON2
Amumu,NA,74,Master,Hinoa
Amumu,NA,75,Diamond 2,Domination1
Amumu,NA,76,Diamond 2,Skywish
Amumu,NA,77,Master,脏你几个兵怎么了
Amumu,NA,78,Diamond 2,BoobzMaGoobz
Amumu,NA,79,Master,Jordan Bot 4
Amumu,NA,80,Master,Rhyú
Amumu,NA,81,Diamond 2,zhang ya wu zhao
Amumu,NA,82,Master,pastelpink
Amumu,NA,83,Master,Þhanłºm
Amumu,NA,84,Diamond 2,One Piece Q
Amumu,NA,85,Diamond 1,DoctorFishyNOOO
Amumu,NA,86,Master,Anvium
Amumu,NA,87,Diamond 2,kamja boksungha
Amumu,NA,88,Master,Lesbienne
Amumu,NA,89,Diamond 2,SWAGMASTER83
Amumu,NA,90,Diamond 2,Sebpoku
Amumu,NA,91,Diamond 2,Deantasanto
Amumu,NA,92,Diamond 2,thekilerone
Amumu,NA,93,Diamond 2,KingErased
Amumu,NA,94,Diamond 2,Terry Mcintosh
Amumu,NA,95,Master,jileshijie
Amumu,NA,96,Master,Rizq
Amumu,NA,97,Diamond 2,McPhee
Amumu,NA,98,Master,Krabby Patty Plz
Amumu,NA,99,Diamond 1,Hamilet
Amumu,NA,100,Master,yiqii
Anivia,NA,1,Master,Edward
Anivia,NA,2,Grandmaster,teanivia1
Anivia,NA,3,Master,坏批小跟班
Anivia,NA,4,Master,Anivia
Anivia,NA,5,Master,MyOwnProfile
Anivia,NA,6,Master,Pedroia
Anivia,NA,7,Master,TRUE
Anivia,NA,8,Master,ATigerOnFire
Anivia,NA,9,Master,PoroBelter
Anivia,NA,10,Master,HotMulliganFan
Anivia,NA,11,Master,get on my level
Anivia,NA,12,Master,NorCal
Anivia,NA,13,Diamond 2,Mental Debuƒƒ
Anivia,NA,14,Master,Copy Bird
Anivia,NA,15,Master,ParagonOfHonor
Anivia,NA,16,Master,YVR
Anivia,NA,17,Master,Validus
Anivia,NA,18,Grandmaster,AoJune
Anivia,NA,19,Master,Froggen Xu Che
Anivia,NA,20,Master,Nong fu san quan
Anivia,NA,21,Master,xianglianyone
Anivia,NA,22,Master,Ash
Anivia,NA,23,Master,Kozen
Anivia,NA,24,Master,Thanatos
Anivia,NA,25,Master,Lord Reeves
Anivia,NA,26,Master,lebaenese
Anivia,NA,27,Master,Hage
Anivia,NA,28,Master,Ter0
Anivia,NA,29,Diamond 1,Tankstaah
Anivia,NA,30,Diamond 2,这是一封离别信
Anivia,NA,31,Master,mellow
Anivia,NA,32,Master,CAPTAIN GULD0
Anivia,NA,33,Master,Connor McDaddy
Anivia,NA,34,Diamond 2,Sap
Anivia,NA,35,Master,SDW
Anivia,NA,36,Diamond 1,다리우스연습함
Anivia,NA,37,Diamond 1,SackofRice
Anivia,NA,38,Diamond 2,FrøzenFire
Anivia,NA,39,Master,Rectak Prolapse
Anivia,NA,40,Diamond 2,Faker
Anivia,NA,41,Master,ToFuMaNiA
Anivia,NA,42,Diamond 2,Retired Mid
Anivia,NA,43,Master,TheSageOfPaths
Anivia,NA,44,Diamond 1,Frosted Chicken
Anivia,NA,45,Master,Vreid
Anivia,NA,46,Master,DrGShooter
Anivia,NA,47,Master,Ten Twelfth
Anivia,NA,48,Master,can fix her
Anivia,NA,49,Diamond 2,DontHurtMeNoMore
Anivia,NA,50,Master,Zen
Anivia,NA,51,Diamond 2,Bird Main
Anivia,NA,52,Master,Xixixi514
Anivia,NA,53,Diamond 1,dragonkhoi
Anivia,NA,54,Diamond 1,睡完就走
Anivia,NA,55,Diamond 2,Solomon
Anivia,NA,56,Diamond 2,Riot FauxFox
Anivia,NA,57,Master,Elytral
